,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
No.,リンクID,長さ,幅（最少値）,歩道の有無,歩行者数,,庇,素材,MH/HH,,,グレーチング,,,点字B,街灯,,,電気ボックス,,,街路樹,,,移動できる障害物,,,移動できない障害物,,,電柱,,,標識,,,整備不良,,,Goproタイム,,,,,,,,
,,,,,平日,休日,,,700,1400,全部,700,1400,全部,,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,,腕橈骨筋（ＲＴ）,上腕二頭筋（ＲＴ）,上腕三頭筋（ＲＴ）,三角筋（ＲＴ）,腕橈骨筋（ＬＴ）,上腕二頭筋（ＬＴ）,上腕三頭筋（ＬＴ）,三角筋（ＬＴ）
269,148-149,5787.373,1669.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,8,3101.39,2640.61,7069.49,10145.82,2430.74,4833.06,3640.31,10461.36
270,149-148,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2330.07,1855.44,6072.89,8953.43,1167.44,3561.33,2082.23,7950.78
271,143-148,24052.588,1669.1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3101.39,2640.61,7069.49,10145.82,2430.74,4833.06,3640.31,10461.36
272,148-143,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2330.07,1855.44,6072.89,8953.43,1167.44,3561.33,2082.23,7950.78
273,142-143,25651.893,1838.1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,3101.39,2640.61,7069.49,10145.82,2430.74,4833.06,3640.31,10461.36
274,143-142,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2330.07,1855.44,6072.89,8953.43,1167.44,3561.33,2082.23,7950.78
275,140-142,61982.927,1839,1,3,4,0,0,9,9,9,0,0,0,0,2,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,71,3101.39,2640.61,7069.49,10145.82,2430.74,4833.06,3640.31,10461.36
276,142-140,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2330.07,1855.44,6072.89,8953.43,1167.44,3561.33,2082.23,7950.78
277,140-141,1677.52,2025.7,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
278,141-140,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
279,135-141,9027.92,3632.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
280,141-135,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
281,135-136,6326.124,2549.7,1,0,0,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
282,136-135,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
283,136-137,7095.718,2038.7,1,0,0,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
284,137-136,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
285,137-138,9208.35,3005.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
286,138-137,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
287,138-139,3004.462,1721.5,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
288,139-138,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
289,139-140,8346.775,2750,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
290,140-139,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
291,139-150,119325.33,1066.2,1,9,8,0,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2,2,2,0,0,0,127,3595.11,2638.76,7307.09,10628.76,2166.91,4071.88,2734.65,8219.95
292,150-139,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,892,1008.57,2336.13,3462.75,949.71,2562.75,1503.66,5666.48
293,134-136,76419.926,3621.5,1,25,29,0,0,1,3,39,2,4,6,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,124,4662.44,2830.23,6720.89,7789.03,3497.87,4786.68,3194.29,4177.37
294,136-134,,,,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,758.52,864.64,871.46,1399.53,316.54,1721.74,377.99,1239.16
295,131-134,57139.006,3750,1,8,10,0,0,3,4,17,1,1,13,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1875.52,1455.8,2875.54,3703.19,1352.07,2072,2316.75,2768.2
296,134-131,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2516.49,1619.19,3337.73,4001.92,1558.16,2170.5,3485.21,3678
297,108-109,12257.676,1540.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
298,109-108,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
299,109-110,4944.786,1540.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
300,110-109,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
301,109-111,6689.017,1540.8,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
302,111-109,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
303,111-133,38183.842,5200,0,3,3,0,0,2,4,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,655.38,562.37,1389.33,2011.32,1328.38,1233.83,1094.92,2398.52
304,133-111,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1628.58,730.25,2302.04,2514.79,739.79,1263.58,583.26,1532.86
305,127-133,4708.544,1100,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
306,133-127,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
307,125-127,23620.258,1100,1,1,1,0,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1941.63,1015.72,2637.2,2982.33,873.98,1338.35,1976.55,2514.65
308,127-125,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1180.43,970.19,2280.32,2954.26,1317.78,1666.01,2422.07,3058.76
309,125-123,10698.577,1100,1,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,7,1180.43,970.19,2280.32,2954.26,1317.78,1666.01,2422.07,3058.76
310,123-125,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1941.63,1015.72,2637.2,2982.33,873.98,1338.35,1976.55,2514.65
311,123-124,1655.395,1100,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
312,124-123,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
313,122-123,13185.342,1100,1,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1941.63,1015.72,2637.2,2982.33,873.98,1338.35,1976.55,2514.65
314,123-122,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1180.43,970.19,2280.32,2954.26,1317.78,1666.01,2422.07,3058.76
315,120-122,6938.675,1837.3,1,0,1,0,4,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7,1941.63,1015.72,2637.2,2982.33,873.98,1338.35,1976.55,2514.65
316,122-120,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1180.43,970.19,2280.32,2954.26,1317.78,1666.01,2422.07,3058.76
317,120-121,5651.211,1837.3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
318,121-120,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
319,116-120,9878.841,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
320,120-116,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
321,116-117,11071.172,1801.7,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4283.73,5221.89,10888.35,13001.83,3470.21,6071.67,7088.06,7801.37
322,117-116,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4711.48,8736.55,15474.34,14595.03,5329.19,12195.48,10906.89,10790.31
323,104-116,51932.729,1800,1,5,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,47,4283.73,5221.89,10888.35,13001.83,3470.21,6071.67,7088.06,7801.37
324,116-104,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4711.48,8736.55,15474.34,14595.03,5329.19,12195.48,10906.89,10790.31
325,103-104,6361.023,1800,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4283.73,5221.89,10888.35,13001.83,3470.21,6071.67,7088.06,7801.37
326,104-103,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4711.48,8736.55,15474.34,14595.03,5329.19,12195.48,10906.89,10790.31
327,102-103,3311.857,2350,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
328,103-102,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
329,101-102,7924.75,3500.7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
330,102-101,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
331,99-102,78118.777,2350,1,2,2,0,3,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,1990.85,3189.59,4632.91,4601.58,1562.64,3434.89,3822.57,2921.39
332,102-99,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,1766.62,1470.43,3646.13,3989.48,2436.85,2542.95,3235.83,3047.29
333,98-99,9036.91,4593.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
334,99-98,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
335,99-112,33993.319,3125.5,1,2,1,0,3,2,3,4,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,2,1,0,0,25,1454.48,1850.42,2894.53,7105.54,3402.44,5304.59,9882.67,9745.48
336,112-99,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3725.88,3427.76,6608.64,15775.95,3842.54,6059.92,9587.85,9245.26
337,112-113,8919.072,3700,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1454.48,1850.42,2894.53,7105.54,3402.44,5304.59,9882.67,9745.48
338,113-112,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3725.88,3427.76,6608.64,15775.95,3842.54,6059.92,9587.85,9245.26
339,113-114,38078.315,2550,1,5,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,30,1454.48,1850.42,2894.53,7105.54,3402.44,5304.59,9882.67,9745.48
340,114-113,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3725.88,3427.76,6608.64,15775.95,3842.54,6059.92,9587.85,9245.26
341,114-115,7432.66,4075.4,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1454.48,1850.42,2894.53,7105.54,3402.44,5304.59,9882.67,9745.48
342,115-114,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3725.88,3427.76,6608.64,15775.95,3842.54,6059.92,9587.85,9245.26
343,115-151,75721.278,2904.9,1,5,3,0,3,2,3,4,0,0,0,1,0,1,2,0,0,0,0,0,9,0,5,11,0,0,5,0,0,3,0,0,0,1,0,0,46,1454.48,1850.42,2894.53,7105.54,3402.44,5304.59,9882.67,9745.48
344,151-115,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3725.88,3427.76,6608.64,15775.95,3842.54,6059.92,9587.85,9245.26
345,151-152,13103.811,3287,1,1,0,0,3,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,589.48,622.03,2013.21,2415.85,1512.75,1470.62,1175.96,2296.65
346,152-151,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,610.68,584.1,1598.67,1939.43,672.04,1493.54,532.86,1354.46
347,152-153,13323.549,3626.6,1,1,0,0,3,2,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,589.48,622.03,2013.21,2415.85,1512.75,1470.62,1175.96,2296.65
348,153-152,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,610.68,584.1,1598.67,1939.43,672.04,1493.54,532.86,1354.46
349,153-154,21568.717,3600,1,0,1,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,725.15,785.5,2341.08,2783.06,1577.33,1551.33,1331.83,2794.02
350,154-153,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,969.14,921.69,2582.3,3151.49,1455.53,1765.73,1185.61,2565.29
351,154-157,30893.77,2000,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
352,157-154,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
353,157-158,18977.794,2000,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
354,158-157,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
355,158-159,6622.586,2000,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
356,159-158,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
357,154-155,23525.651,3601.3,1,1,5,0,3,5,7,7,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,25,725.15,785.5,2341.08,2783.06,1577.33,1551.33,1331.83,2794.02
358,155-154,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,969.14,921.69,2582.3,3151.49,1455.53,1765.73,1185.61,2565.29
359,155-159,24706.185,2076.4,1,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4711.48,8736.55,15474.34,14595.03,5329.19,12195.48,10906.89,10790.31
360,159-155,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4283.73,5221.89,10888.35,13001.83,3470.21,6071.67,7088.06,7801.37
361,159-160,13509.03,2003,1,0,0,0,3,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4711.48,8736.55,15474.34,14595.03,5329.19,12195.48,10906.89,10790.31
362,160-159,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4283.73,5221.89,10888.35,13001.83,3470.21,6071.67,7088.06,7801.37
363,160-161,2155.33,2000,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
364,161-160,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
365,160-117,43670.922,2000,1,0,2,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4711.48,8736.55,15474.34,14595.03,5329.19,12195.48,10906.89,10790.31
366,117-160,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,4283.73,5221.89,10888.35,13001.83,3470.21,6071.67,7088.06,7801.37
367,117-118,5848.026,1750,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
368,118-117,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
369,118-119,5600.018,1750,1,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1402.85,842.67,2061.36,2507.9,558.31,926.4,1085.82,1608.2
370,119-118,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,403.89,533.2,977.2,1304.29,916.94,1068.87,1371.97,1825.02
371,119-120,6601.343,1750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
372,120-119,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
373,119-126,33432.145,1750,1,2,2,0,4,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1402.85,842.67,2061.36,2507.9,558.31,926.4,1085.82,1608.2
374,126-119,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,403.89,533.2,977.2,1304.29,916.94,1068.87,1371.97,1825.02
375,126-128,21463.935,1900,1,1,0,0,4,6,6,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,657.55,440.29,1047.11,1282.98,457.26,715.32,797.78,960.72
376,128-126,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,486.43,378.84,738.4,952.75,375.53,654.81,739.05,1010.43
377,128-127,6316.975,3320.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
378,127-128,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
379,128-129,5609.047,1750,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
380,129-128,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
381,129-130,4163.818,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
382,130-129,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
383,130-131,3255.283,1650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
384,131-130,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
385,131-132,3331.427,1650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
386,132-131,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
387,132-133,4511.622,1650,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
388,133-132,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
389,129-167,46862.967,5900,0,4,0,0,0,1,2,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2314.06,1250.27,4015.14,5516.41,1889.3,2026.19,1860.55,4627.82
390,167-129,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1256.25,936.62,2591.18,3927.42,1410.01,1985.46,1402.7,4060.86
391,167-168,3180.959,5245.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
392,168-167,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
393,166-167,31066.836,5245.5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,28,1256.25,936.62,2591.18,3927.42,1410.01,1985.46,1402.7,4060.86
394,167-166,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2314.06,1250.27,4015.14,5516.41,1889.3,2026.19,1860.55,4627.82
395,126-165,50969.151,3906.4,0,1,0,0,0,1,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,1821.03,2697.15,7322.41,4623.08,1753.9,3066.01,3428.38,4903.24
396,165-126,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1980.19,2960.79,6877.97,4512.4,1859.34,3369.08,3160.88,4294.62
397,118-162,53786.889,2000,1,2,1,0,3,15,15,15,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,55,2490.99,2505.9,4212.17,4619.37,2504.74,3386.7,3253.07,4672.9
398,162-118,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1730.53,1961.57,3543.69,4483.62,1446.97,2374.64,2092.12,3593.12
399,162-156,28207.385,2150,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,25,765.18,971.87,1920.99,2294.23,973.84,1399.72,1606.26,1736.15
400,156-162,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,825.75,1062.83,1703.18,2183.81,774.48,1229.55,1115.59,1314.45
401,155-156,6535.053,4700,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
402,156-155,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
403,162-163,28466.041,3996.6,0,0,0,0,0,2,3,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23,495.8,756.32,1085.31,1536.87,460.3,1005.05,728.76,1285.28
404,163-162,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1525.17,1840.87,3788.87,3430.9,1347.95,1902.63,1970.52,2627.15
405,163-164,2342.26,3996.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
406,164-163,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
407,163-165,7990.86,3996.6,0,0,0,0,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,495.8,756.32,1085.31,1536.87,460.3,1005.05,728.76,1285.28
