,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
No.,リンクID,長さ,幅（最少値）,歩道の有無,歩行者数,,庇,素材,MH/HH,,,グレーチング,,,点字B,街灯,,,電気ボックス,,,街路樹,,,移動できる障害物,,,移動できない障害物,,,電柱,,,標識,,,整備不良,,,Goproタイム,,,,,,,,
,,,,,平日,休日,,,700,1400,全部,700,1400,全部,,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,,腕橈骨筋（ＲＴ）,上腕二頭筋（ＲＴ）,上腕三頭筋（ＲＴ）,三角筋（ＲＴ）,腕橈骨筋（ＬＴ）,上腕二頭筋（ＬＴ）,上腕三頭筋（ＬＴ）,三角筋（ＬＴ）
42,64-62,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1938.99,2005.84,3985.47,4560.42,1663.78,2263.55,2386.52,2642.39
43,2-64,137899.649,724.2,1,4,1,0,4,44,46,46,0,0,0,0,2,2,2,6,8,8,0,1,1,0,0,0,0,3,3,0,0,0,1,1,1,1,0,0,146,2251.61,4552.55,9916.6,6921.26,1842.96,4101.59,3871.92,5550.15
44,64-2,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5173.4,9330.6,14658.61,12855.62,5541.53,11712.61,9000.67,10700.36
45,64-65,6837.306,1181.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
46,65-64,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
47,3-65,137322.864,1181.4,1,7,2,0,4,33,40,40,0,0,0,0,0,2,2,5,8,8,0,3,3,1,1,1,0,7,7,0,0,0,0,3,3,0,1,0,166,2523.84,2961.58,4151.04,6787.12,3472.75,5445.44,5177.21,9032.52
48,65-3,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,6980.63,10248.76,21944.78,16669.94,4880.56,9713.11,9434.39,10792
49,65-69,33377.114,1095.6,1,1,2,0,3,3,5,5,0,0,0,0,1,1,1,1,1,1,6,6,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,30,339.21,486.75,959.3,1207.72,469.46,1169.26,1176.97,1767.97
50,69-65,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1126.78,1315.57,3175.7,3363.66,983.29,1842.35,1966.06,2183.72
51,68-69,4429.235,1184.6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
52,69-68,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
53,4-68,130783.068,1249.9,1,9,6,0,3,33,34,34,0,0,0,0,1,2,2,3,4,4,1,1,1,1,3,3,0,0,0,0,0,0,2,4,4,3,0,0,108,3305.08,4341.8,8561.32,12512.54,2299.31,4246.39,3459.97,5275.95
54,68-4,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,4852.83,5451.8,10600.99,10870.89,5340.3,9799.69,7443.66,9100.5
55,68-74,6381.313,1743.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
56,74-68,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
57,74-47,36772.965,1743.9,1,0,0,0,3,7,8,8,0,0,0,0,0,1,1,1,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,31,1115.19,1859.08,3697.75,3310.46,1096.39,2470.65,2908.34,2393.08
58,47-74,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,298.81,643.31,860.4,1287.21,717.41,1752.01,1904.86,2064.79
59,47-23,32220.713,1569.9,1,3,0,0,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1308.44,2237.81,3733.03,3890.14,1305.82,2674.99,2831.72,2419.45
60,23-47,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,442.65,825,1153.69,1802.69,1065.68,2138.54,2298.24,2956.42
61,23-24,1000,1569.9,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
62,24-23,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
63,22-23,15718.432,1569.9,1,1,0,0,3,5,5,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,442.65,825,1153.69,1802.69,1065.68,2138.54,2298.24,2956.42
64,23-22,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1308.44,2237.81,3733.03,3890.14,1305.82,2674.99,2831.72,2419.45
65,22-9,35769.222,1501.5,1,3,4,0,3,7,8,8,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1846.9,1902.42,3510.48,4811.89,1857.18,2643.32,2913.42,3725.84
66,9-22,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,477.97,757,1052.43,1771.45,655.13,1496.33,1217.77,2187.88
67,9-8,863.109,1501.5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
68,8-9,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
69,9-5,10657.762,1501.5,1,2,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1846.9,1902.42,3510.48,4811.89,1857.18,2643.32,2913.42,3725.84
70,5-9,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,477.97,757,1052.43,1771.45,655.13,1496.33,1217.77,2187.88
71,22-26,12783.703,5477.2,0,0,0,0,1,0,3,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,6,4260.82,2915.04,6086.93,10339.79,4305.32,6724.42,8502.46,8508.65
72,26-22,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2504.68,2253.07,3829.52,10637.51,3631.23,4756.57,5788.06,5978.64
73,26-25,2864.665,5477.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
74,25-26,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
75,26-29,103174.147,6100,0,1,0,0,1,3,8,55,0,0,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,90,4260.82,2915.04,6086.93,10339.79,4305.32,6724.42,8502.46,8508.65
76,29-26,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,2504.68,2253.07,3829.52,10637.51,3631.23,4756.57,5788.06,5978.64
77,29-28,19388.768,13755,1,6,10,1,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,14,693.24,341.17,484.77,2106.04,259.07,374.02,439.25,3452.41
78,28-29,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1084.28,603.77,922.51,3117.62,894.18,852.5,1459.76,8590.28
79,27-28,7673.789,13755,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
80,28-27,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
81,12-28,26743.83,14702.1,1,15,14,1,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,1,0,0,2,0,0,0,0,0,0,16,1084.28,603.77,922.51,3117.62,894.18,852.5,1459.76,8590.28
82,28-12,,,,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,693.24,341.17,484.77,2106.04,259.07,374.02,439.25,3452.41
83,29-30,50815.163,5052.6,0,0,2,0,0,2,2,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,62,2802.67,1978.53,5441.34,6679.48,3093.04,3540.75,2955.08,6979.69
84,30-29,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1617.26,2106.42,3025.04,4093.43,1177.07,2971.96,1360.2,3912.73
85,30-31,2984.751,6049.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
86,31-30,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
87,30-33,11921.133,6049.1,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2802.67,1978.53,5441.34,6679.48,3093.04,3540.75,2955.08,6979.69
88,33-30,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1617.26,2106.42,3025.04,4093.43,1177.07,2971.96,1360.2,3912.73
89,33-32,3284.897,6049.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
90,32-33,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
91,33-34,54460.962,5286,0,0,0,0,0,1,1,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,2,0,0,1,0,0,0,62,2802.67,1978.53,5441.34,6679.48,3093.04,3540.75,2955.08,6979.69
92,34-33,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1617.26,2106.42,3025.04,4093.43,1177.07,2971.96,1360.2,3912.73
93,13-34,45836.163,2256.3,1,1,3,1,4,7,13,13,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,7,0,0,4,0,6,6,0,0,1,0,0,0,37,551.3,390.76,743.73,1130,377.21,400.46,565.22,1851.37
94,34-13,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,709.25,556.32,1350.4,1653.94,609.02,463.71,963.93,2324.88
95,14-38,27135.223,2174.2,1,0,2,1,4,8,10,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,0,3,4,0,0,0,0,0,0,21,563.76,332.76,750.23,847.73,172.68,363.01,226.4,1497.51
96,38-14,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,692.83,378.56,756.1,834.54,338.07,455.77,234.87,1473.88
97,38-39,1742.247,2327.8,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
98,39-38,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
99,38-37,19090.375,2327.8,1,1,1,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,13,563.76,332.76,750.23,847.73,172.68,363.01,226.4,1497.51
100,37-38,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,692.83,378.56,756.1,834.54,338.07,455.77,234.87,1473.88
101,37-40,24033.142,5950,0,1,2,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30,2710.02,2448.18,6815.67,8765.29,2041.84,4545.5,2845.81,10090.87
102,40-37,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1238.94,1812.95,3264.83,4615.41,835.8,3042.57,1401.18,5725.22
103,40-41,2555.082,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
104,41-40,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
105,40-42,22058.448,5950,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,2710.02,2448.18,6815.67,8765.29,2041.84,4545.5,2845.81,10090.87
106,42-40,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1238.94,1812.95,3264.83,4615.41,835.8,3042.57,1401.18,5725.22
107,42-43,2825.968,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
108,43-42,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
109,42-44,51789.653,5850,0,0,0,0,0,3,5,27,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,49,2710.02,2448.18,6815.67,8765.29,2041.84,4545.5,2845.81,10090.87
110,44-42,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1238.94,1812.95,3264.83,4615.41,835.8,3042.57,1401.18,5725.22
111,44-45,2873.787,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
112,45-44,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
113,44-46,20250.324,5950,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,19,2710.02,2448.18,6815.67,8765.29,2041.84,4545.5,2845.81,10090.87
114,46-44,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1238.94,1812.95,3264.83,4615.41,835.8,3042.57,1401.18,5725.22
115,21-46,46643.145,7000,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,33,946.54,868.57,1259.2,3224.26,1039.04,1832.91,1018.06,1690.16
116,46-21,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,932.37,860.34,1165.76,3159.09,502.49,1360.79,665.05,1592.8
117,46-59,46318.066,7000,0,0,1,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,34,678.81,814.85,1227.49,2896.1,922.72,1796.08,995.12,1779.23
118,59-46,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1555.85,1229.88,1562.81,3724.36,679.04,1707.3,826.69,1770.7
119,57-59,34235.697,5500,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,38,2804.15,2189.52,7459.03,8715.56,2047.37,4032.59,2688.31,8811.31
120,59-57,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1028.44,1440.06,2714.35,3887.83,888.35,2436.42,1255.83,4815.22
121,57-58,3158.504,4981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
122,58-57,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
123,57-55,31520.296,5500,0,1,0,0,0,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,14,1028.44,1440.06,2714.35,3887.83,888.35,2436.42,1255.83,4815.22
124,55-57,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2804.15,2189.52,7459.03,8715.56,2047.37,4032.59,2688.31,8811.31
125,55-56,2835.106,4981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
126,56-55,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
127,53-55,11525.934,5500,0,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,2804.15,2189.52,7459.03,8715.56,2047.37,4032.59,2688.31,8811.31
